role,num,note,x,z
pin,1,C1,-188.317,11.794
pin,2,D1,-169.427,-22.459
pin,3,E1,-150.717,-56.029
pin,4,F1,-134.313,-71.344
pin,5,G1,-116.717,-96.941
pin,6,A1,-99.210,-122.397
pin,7,B1,-86.182,-111.780
pin,8,C2,-71.302,-116.603
pin,9,D2,-53.019,-149.570
pin,10,E2,-34.802,-182.445
pin,11,F2,-18.841,-197.311
pin,12,G2,-1.682,-222.306
pin,13,A2,15.679,-244.556
pin,14,B2,33.535,-266.695
pin,15,C3,51.630,-291.223
pin,16,D3,69.352,-313.177
pin,17,E3,86.902,-335.000
pin,18,F3,104.352,-356.786
pin,19,G3,121.750,-378.427
pin,20,A3,138.752,-397.548
pin,21,B3,155.005,-411.521
pin,22,C4,171.799,-430.466
pin,23,D4,188.222,-446.836
pin,24,E4,204.545,-463.169
pin,25,F4,220.741,-478.812
pin,26,G4,236.608,-491.976
pin,27,A4,252.412,-505.148
pin,28,B4,267.846,-515.847
pin,29,C5,284.444,-536.478
pin,30,D5,300.098,-549.668
pin,31,E5,315.723,-562.863
pin,32,F5,331.012,-573.580
pin,33,G5,345.968,-581.818
pin,34,A5,361.163,-592.546
pin,35,B5,376.325,-603.279
pin,36,C6,391.815,-616.489
pin,37,D6,406.991,-627.220
pin,38,E6,421.828,-635.473
pin,39,F6,436.481,-642.238
pin,40,G6,450.866,-647.020
pin,41,A6,465.197,-651.809
pin,42,B6,479.274,-655.119
pin,43,C7,493.420,-659.427
pin,44,D7,507.551,-663.737
pin,45,E7,521.727,-668.545
pin,46,F7,535.874,-673.356
pin,47,G7,550.311,-680.651
flat,1,C1,-198.476,-12.139
flat,2,D1,-179.586,-46.392
flat,3,E1,-160.876,-79.962
flat,4,F1,-144.472,-95.277
flat,5,G1,-126.876,-120.874
flat,6,A1,-109.369,-146.330
flat,7,B1,-96.341,-135.713
flat,8,C2,-81.461,-140.536
flat,9,D2,-63.178,-173.503
flat,10,E2,-44.961,-206.378
flat,11,F2,-29.000,-221.244
flat,12,G2,-11.841,-246.239
flat,13,A2,5.520,-268.489
flat,14,B2,23.376,-290.628
flat,15,C3,41.471,-315.156
flat,16,D3,59.193,-337.110
flat,17,E3,76.743,-358.933
flat,18,F3,94.193,-380.719
flat,19,G3,111.591,-402.360
flat,20,A3,128.593,-421.481
flat,21,B3,144.846,-435.454
flat,22,C4,161.640,-454.399
flat,23,D4,178.063,-470.769
flat,24,E4,194.386,-487.102
flat,25,F4,210.582,-502.745
flat,26,G4,226.449,-515.909
flat,27,A4,242.253,-529.081
flat,28,B4,257.687,-539.780
flat,29,C5,274.285,-560.411
flat,30,D5,289.939,-573.601
flat,31,E5,305.564,-586.796
flat,32,F5,320.853,-597.513
flat,33,G5,335.809,-605.751
flat,34,A5,351.004,-616.479
flat,35,B5,366.166,-627.212
flat,36,C6,381.656,-640.422
flat,37,D6,396.832,-651.153
flat,38,E6,411.669,-659.406
flat,39,F6,426.322,-666.171
flat,40,G6,440.707,-670.953
flat,41,A6,455.038,-675.742
flat,42,B6,469.115,-679.052
flat,43,C7,483.261,-683.360
flat,44,D7,497.392,-687.670
flat,45,E7,511.568,-692.478
flat,46,F7,525.715,-697.289
flat,47,G7,540.152,-704.584
natural,1,C1,-187.341,-102.822
natural,2,D1,-168.948,-133.033
natural,3,E1,-150.725,-162.638
natural,4,F1,-134.556,-176.038
natural,5,G1,-117.337,-198.567
natural,6,A1,-100.204,-220.971
natural,7,B1,-87.054,-211.351
natural,8,C2,-72.264,-215.439
natural,9,D2,-54.459,-244.514
natural,10,E2,-36.718,-273.508
natural,11,F2,-20.986,-286.514
natural,12,G2,-4.195,-308.514
natural,13,A2,12.835,-328.069
natural,14,B2,30.361,-347.518
natural,15,C3,48.093,-369.089
natural,16,D3,65.488,-388.376
natural,17,E3,82.712,-407.549
natural,18,F3,99.838,-426.690
natural,19,G3,116.913,-445.703
natural,20,A3,133.627,-462.480
natural,21,B3,149.663,-474.687
natural,22,C4,166.172,-491.310
natural,23,D4,182.346,-505.648
natural,24,E4,198.420,-519.954
natural,25,F4,214.376,-533.648
natural,26,G4,230.038,-545.142
natural,27,A4,245.637,-556.643
natural,28,B4,260.900,-565.950
natural,29,C5,277.191,-584.076
natural,30,D5,292.640,-595.595
natural,31,E5,308.059,-607.120
natural,32,F5,323.178,-616.445
natural,33,G5,337.997,-623.569
natural,34,A5,353.021,-632.905
natural,35,B5,368.012,-642.246
natural,36,C6,383.297,-653.786
natural,37,D6,398.302,-663.125
natural,38,E6,413.002,-670.264
natural,39,F6,427.539,-676.082
natural,40,G6,441.835,-680.140
natural,41,A6,456.077,-684.206
natural,42,B6,470.086,-686.959
natural,43,C7,484.150,-690.599
natural,44,D7,498.199,-694.240
natural,45,E7,512.286,-698.325
natural,46,F7,526.344,-702.412
natural,47,G7,540.658,-708.704
