role,num,note,x,z
pin,1,C1,13,22.517
pin,2,D1,27.575,-2.118
pin,3,E1,42.055,-25.665
pin,4,F1,56.47,-12.63
pin,5,G1,70.815,-20.614
pin,6,A1,85.09,-28.619
pin,7,B1,99.315,35.864
pin,8,C2,113.495,68.961
pin,9,D2,127.625,45.075
pin,10,E2,141.7,21.075
pin,11,F2,155.73,33.052
pin,12,G2,169.715,24.317
pin,13,A2,184.235,22.516
pin,14,B2,199.26,22.153
pin,15,C3,214.23,16.508
pin,16,D3,229.145,15.429
pin,17,E3,243.905,13.632
pin,18,F3,258.57,11.02
pin,19,G3,273.2,7.898
pin,20,A3,287.745,8.821
pin,21,B3,302.175,18.929
pin,22,C4,316.535,17.875
pin,23,D4,330.84,20.83
pin,24,E4,345.05,22.517
pin,25,F4,359.22,24.308
pin,26,G4,373.365,29.825
pin,27,A4,387.445,33.942
pin,28,B4,401.46,41.644
pin,29,C5,415.42,27.941
pin,30,D5,429.35,27.872
pin,31,E5,443.25,26.416
pin,32,F5,457.12,28.552
pin,33,G5,470.96,34.258
pin,34,A5,484.735,33.457
pin,35,B5,498.475,31.184
pin,36,C6,512.24,22.516
pin,37,D6,525.995,17.392
pin,38,E6,539.715,15.89
pin,39,F6,553.435,16.198
pin,40,G6,567.13,19.42
pin,41,A6,580.77,21.663
pin,42,B6,594.34,26.051
pin,43,C7,607.855,27.742
pin,44,D7,621.355,28.907
pin,45,E7,634.84,28.678
pin,46,F7,648.295,28.167
pin,47,G7,661.735,22.517
sharp,1,C1,0,-177.68
sharp,2,D1,14.575,-194.395
sharp,3,E1,29.055,-210.174
sharp,4,F1,43.47,-193.386
sharp,5,G1,57.815,-195.358
sharp,6,A1,72.09,-197.385
sharp,7,B1,86.315,-134.854
sharp,8,C2,100.495,-100.317
sharp,9,D2,114.625,-116.577
sharp,10,E2,128.7,-132.973
sharp,11,F2,142.73,-117.352
sharp,12,G2,156.715,-120.217
sharp,13,A2,171.235,-116.738
sharp,14,B2,186.26,-111.831
sharp,15,C3,201.23,-111.683
sharp,16,D3,216.145,-107.536
sharp,17,E3,230.905,-104.14
sharp,18,F3,245.57,-101.57
sharp,19,G3,260.2,-99.542
sharp,20,A3,274.745,-94.026
sharp,21,B3,289.175,-80.46
sharp,22,C4,303.535,-76.964
sharp,23,D4,317.84,-70.027
sharp,24,E4,332.05,-64.369
sharp,25,F4,346.22,-58.759
sharp,26,G4,360.365,-49.969
sharp,27,A4,374.445,-42.579
sharp,28,B4,388.46,-32.15
sharp,29,C5,402.42,-40.943
sharp,30,D5,416.35,-37.739
sharp,31,E5,430.25,-35.922
sharp,32,F5,444.12,-31.059
sharp,33,G5,457.96,-23.171
sharp,34,A5,471.735,-21.244
sharp,35,B5,485.475,-20.79
sharp,36,C6,499.24,-26.185
sharp,37,D6,512.995,-28.581
sharp,38,E6,526.715,-27.901
sharp,39,F6,540.435,-25.739
sharp,40,G6,554.13,-21.098
sharp,41,A6,567.77,-17.437
sharp,42,B6,581.34,-11.958
sharp,43,C7,594.855,-8.958
sharp,44,D7,608.355,-6.484
sharp,45,E7,621.84,-5.294
sharp,46,F7,635.295,-4.387
sharp,47,G7,648.735,-8.073
