role,num,note,x,z
pin,1,C1,-188.317,11.794
pin,2,D1,-167.929,-34.663
pin,3,E1,-147.785,-79.91
pin,4,F1,-132.175,-88.758
pin,5,G1,-114.093,-118.313
pin,6,A1,-96.101,-147.72
pin,7,B1,-87.001,-105.106
pin,8,C2,-74.138,-93.502
pin,9,D2,-54.4,-138.325
pin,10,E2,-34.72,-183.115
pin,11,F2,-19.487,-192.046
pin,12,G2,-1.794,-221.391
pin,13,A2,15.679,-244.557
pin,14,B2,33.56,-266.895
pin,15,C3,52.003,-294.264
pin,16,D3,69.794,-316.779
pin,17,E3,87.456,-339.515
pin,18,F3,105.067,-362.609
pin,19,G3,122.655,-385.798
pin,20,A3,139.599,-404.442
pin,21,B3,155.233,-413.379
pin,22,C4,172.088,-432.817
pin,23,D4,188.327,-447.692
pin,24,E4,204.545,-463.17
pin,25,F4,220.632,-477.921
pin,26,G4,236.164,-488.36
pin,27,A4,251.72,-499.511
pin,28,B4,266.687,-506.411
pin,29,C5,284.124,-533.869
pin,30,D5,299.784,-547.115
pin,31,E5,315.5,-561.048
pin,32,F5,330.66,-570.711
pin,33,G5,345.267,-576.11
pin,34,A5,360.508,-587.214
pin,35,B5,375.804,-599.034
pin,36,C6,391.815,-616.49
pin,37,D6,407.294,-629.689
pin,38,E6,422.213,-638.61
pin,39,F6,436.839,-645.153
pin,40,G6,451.021,-648.285
pin,41,A6,465.212,-651.934
pin,42,B6,479.022,-653.065
pin,43,C7,493.068,-656.558
pin,44,D7,507.133,-660.336
pin,45,E7,521.331,-665.324
pin,46,F7,535.519,-670.466
pin,47,G7,550.311,-680.651
sharp,1,C1,-176.822,-188.495
sharp,2,D1,-157.399,-227.09
sharp,3,E1,-138.202,-264.627
sharp,4,F1,-123.05,-269.75
sharp,5,G1,-105.7,-293.339
sharp,6,A1,-88.437,-316.811
sharp,7,B1,-79.099,-276.136
sharp,8,C2,-66.411,-263.102
sharp,9,D2,-47.603,-300.356
sharp,10,E2,-28.849,-337.598
sharp,11,F2,-14.061,-342.913
sharp,12,G2,2.917,-366.432
sharp,13,A2,19.747,-384.357
sharp,14,B2,36.985,-401.465
sharp,15,C3,54.722,-423.084
sharp,16,D3,71.877,-440.412
sharp,17,E3,88.906,-457.993
sharp,18,F3,105.885,-475.944
sharp,19,G3,122.846,-494.021
sharp,20,A3,139.23,-508.107
sharp,21,B3,154.442,-513.611
sharp,22,C4,170.743,-528.533
sharp,23,D4,186.497,-539.456
sharp,24,E4,202.231,-550.992
sharp,25,F4,217.852,-561.953
sharp,26,G4,232.985,-569.144
sharp,27,A4,248.142,-577.046
sharp,28,B4,262.777,-581.239
sharp,29,C5,279.616,-603.824
sharp,30,D5,294.877,-613.821
sharp,31,E5,310.194,-624.506
sharp,32,F5,325.022,-631.461
sharp,33,G5,339.363,-634.695
sharp,34,A5,354.271,-643.092
sharp,35,B5,369.235,-652.204
sharp,36,C6,384.847,-666.412
sharp,37,D6,399.994,-676.904
sharp,38,E6,414.647,-683.659
sharp,39,F6,429.047,-688.361
sharp,40,G6,443.056,-690.085
sharp,41,A6,457.074,-692.327
sharp,42,B6,470.751,-692.375
sharp,43,C7,484.637,-694.568
sharp,44,D7,498.543,-697.047
sharp,45,E7,512.568,-700.627
sharp,46,F7,526.583,-704.361
sharp,47,G7,541.136,-712.597
