role,num,note,x,z
pin,1,C1,-188.317,11.794
pin,2,D1,-167.929,-34.663
pin,3,E1,-147.785,-79.91
pin,4,F1,-132.175,-88.758
pin,5,G1,-114.093,-118.313
pin,6,A1,-96.101,-147.72
pin,7,B1,-87.001,-105.106
pin,8,C2,-74.138,-93.502
pin,9,D2,-54.4,-138.325
pin,10,E2,-34.72,-183.115
pin,11,F2,-19.487,-192.046
pin,12,G2,-1.794,-221.391
pin,13,A2,15.679,-244.557
pin,14,B2,33.56,-266.895
pin,15,C3,52.003,-294.264
pin,16,D3,69.794,-316.779
pin,17,E3,87.456,-339.515
pin,18,F3,105.067,-362.609
pin,19,G3,122.655,-385.798
pin,20,A3,139.599,-404.442
pin,21,B3,155.233,-413.379
pin,22,C4,172.088,-432.817
pin,23,D4,188.327,-447.692
pin,24,E4,204.545,-463.17
pin,25,F4,220.632,-477.921
pin,26,G4,236.164,-488.36
pin,27,A4,251.72,-499.511
pin,28,B4,266.687,-506.411
pin,29,C5,284.124,-533.869
pin,30,D5,299.784,-547.115
pin,31,E5,315.5,-561.048
pin,32,F5,330.66,-570.711
pin,33,G5,345.267,-576.11
pin,34,A5,360.508,-587.214
pin,35,B5,375.804,-599.034
pin,36,C6,391.815,-616.49
pin,37,D6,407.294,-629.689
pin,38,E6,422.213,-638.61
pin,39,F6,436.839,-645.153
pin,40,G6,451.021,-648.285
pin,41,A6,465.212,-651.934
pin,42,B6,479.022,-653.065
pin,43,C7,493.068,-656.558
pin,44,D7,507.133,-660.336
pin,45,E7,521.331,-665.324
pin,46,F7,535.519,-670.466
pin,47,G7,550.311,-680.651
flat,1,C1,-198.476,-12.139
flat,2,D1,-178.088,-58.596
flat,3,E1,-157.944,-103.843
flat,4,F1,-142.334,-112.691
flat,5,G1,-124.252,-142.246
flat,6,A1,-106.26,-171.653
flat,7,B1,-97.16,-129.039
flat,8,C2,-84.297,-117.435
flat,9,D2,-64.559,-162.258
flat,10,E2,-44.879,-207.048
flat,11,F2,-29.646,-215.979
flat,12,G2,-11.953,-245.324
flat,13,A2,5.52,-268.49
flat,14,B2,23.401,-290.828
flat,15,C3,41.844,-318.197
flat,16,D3,59.635,-340.712
flat,17,E3,77.297,-363.448
flat,18,F3,94.908,-386.542
flat,19,G3,112.496,-409.731
flat,20,A3,129.44,-428.375
flat,21,B3,145.074,-437.312
flat,22,C4,161.929,-456.75
flat,23,D4,178.168,-471.625
flat,24,E4,194.386,-487.103
flat,25,F4,210.473,-501.854
flat,26,G4,226.005,-512.293
flat,27,A4,241.561,-523.444
flat,28,B4,256.528,-530.344
flat,29,C5,273.965,-557.802
flat,30,D5,289.625,-571.048
flat,31,E5,305.341,-584.981
flat,32,F5,320.501,-594.644
flat,33,G5,335.108,-600.043
flat,34,A5,350.349,-611.147
flat,35,B5,365.645,-622.967
flat,36,C6,381.656,-640.423
flat,37,D6,397.135,-653.622
flat,38,E6,412.054,-662.543
flat,39,F6,426.68,-669.086
flat,40,G6,440.862,-672.218
flat,41,A6,455.053,-675.867
flat,42,B6,468.863,-676.998
flat,43,C7,482.909,-680.491
flat,44,D7,496.974,-684.269
flat,45,E7,511.172,-689.257
flat,46,F7,525.36,-694.399
flat,47,G7,540.152,-704.584
