# Lyon & Healy Style 25 - 47 strings. Frame: x_across (C1=0..G7=643mm), Z=height above floor (mm).
# Open string sounds FLAT (C-flat major). L_natural/sharp = semitone disc steps. x_across = center-to-center (edge-gap + diameters).
sn,note,x_across,freq_flat_Hz,L_flat,L_natural,L_sharp,diameter,material,color,tension_N,Z_grommet,Z_sharp,Z_natural,Z_flat,Z_tuner,Z_neckbot,Z_necktop
1,C1,0.0,30.87,1570.0,1482.0,1399.0,2.83,wire_wound_bass,red,,329.8,1718.1,1800.6,1888.1,1923.1,1649.6,1951.1
2,D1,15.3,34.65,1539.0,1453.0,1371.0,2.83,wire_wound_bass,natural,,362.3,1723.2,1804.1,1889.8,1924.8,1694.9,1963.4
3,E1,30.1,38.89,1505.0,1421.0,1341.0,2.84,wire_wound_bass,natural,,393.5,1724.3,1803.4,1887.3,1922.3,1719.3,1972.3
4,F1,45.1,41.2,1505.0,1421.0,1341.0,2.37,wire_wound_bass,black,,425.6,1756.4,1835.5,1919.4,1954.4,1751.4,1978.9
5,G1,60.3,46.25,1498.0,1414.0,1335.0,2.38,wire_wound_bass,natural,,458.8,1783.4,1862.2,1945.6,1980.6,1778.4,1990.6
6,A1,74.9,51.91,1484.0,1401.0,1322.0,2.38,wire_wound_bass,natural,,490.6,1802.8,1880.9,1963.5,1996.0,1796.4,2000.0
7,B1,90.1,58.27,1432.0,1352.0,1276.0,2.3,wire_wound_bass,natural,,524.0,1790.3,1865.6,1945.3,1980.3,1785.3,1990.3
8,C2,106.0,61.74,1379.0,1302.0,1229.0,2.39,wire_wound_bass,red,,558.9,1778.3,1850.8,1927.6,1962.6,1773.3,1979.5
9,D2,120.9,69.3,1370.0,1293.0,1221.0,2.39,wire_wound_bass,natural,,591.4,1802.8,1874.9,1951.2,1986.2,1797.8,1995.0
10,E2,135.9,77.78,1338.0,1263.0,1192.0,2.39,wire_wound_bass,natural,,624.1,1807.2,1877.6,1952.1,1987.1,1802.2,1995.0
11,F2,151.0,82.41,1287.0,1215.0,1147.0,2.66,wire_wound_bass,black,,656.8,1794.8,1862.5,1934.2,1969.2,1789.8,1979.2
12,G2,166.1,92.5,1255.0,1185.0,1118.0,2.31,wire_wound_bass,natural,,689.4,1799.1,1865.1,1935.0,1970.0,1789.6,1980.0
13,A2,181.0,103.83,1222.0,1153.0,1089.0,2.29,gut,natural,344.8,722.1,1831.8,1897.8,1967.7,1996.0,1777.3,2000.0
14,B2,195.8,116.54,1163.0,1098.0,1036.0,2.18,gut,natural,356.6,754.6,1813.4,1876.4,1943.1,1978.1,1763.1,1988.1
15,C3,210.6,123.47,1136.0,1072.0,1012.0,2.08,gut,red,347.6,787.3,1813.8,1874.8,1939.5,1974.5,1747.8,1984.5
16,D3,225.3,138.59,1114.0,1051.0,992.0,1.96,gut,natural,374.0,819.9,1794.7,1852.7,1914.1,1949.1,1731.6,1959.1
17,E3,239.5,155.56,1088.0,1027.0,969.0,1.85,gut,natural,400.4,851.9,1776.0,1830.9,1889.1,1924.1,1715.4,1934.1
18,F3,253.5,164.81,1042.0,984.0,928.0,1.8,gut,black,390.3,883.1,1762.1,1814.3,1869.7,1904.7,1699.4,1914.7
19,G3,267.1,185.0,973.0,918.0,867.0,1.7,gut,natural,382.4,913.8,1728.0,1776.4,1827.7,1862.7,1684.0,1872.7
20,A3,280.8,207.65,838.0,791.0,747.0,1.6,gut,natural,316.6,944.8,1669.1,1712.2,1757.8,1792.8,1664.1,1832.3
